"ROM","PRESET #","PRESET NAME","RIFF NAME","ARP NAME","PRESET LAYER","INST #","INST NAME","SAMPLE NAMES"
"2500","1","arp:Guitartar","KEY-C3","4rthOf5th","1","178","gtr:Mutes","Gtr Mute E2 -- Gtr Mute E4"
"2500","1","arp:Guitartar","KEY-C3","4rthOf5th","2","192","gtr:Riff 3","Gtr Riff 3"
"2500","2","kit:D&B Tight","KIT-Drum-Bass 3a","Classical 1","1","630","kit:Acoustic 1&2","Kick Sweet Tite -- Rim Shot -- Tight Snare -- Dry Ring Snare -- Snare Nicey -- Low Dry Tom -- Lite Hat Tight -- Low Dry Tom -- Lite Hat Tight -- Hi Dry Tom -- Lite Hat Open -- Hi Dry Tom -- Hi Dry Tom -- Cymbal 14"" Crash -- Hi Dry Tom -- Ride Ping -- Ride Bell -- Kick Sweet Tite -- Triple Roll -- Cymbal 12""Splash -- Stick Start -- Cymbal 14"" Crash -- Fingersnap -- Lite Hat Open -- Snare Roll -- Fat Kick -- Side Stick -- Snare Rim Mono -- Tight Snare -- Snare Rim Mono -- Low Dry Tom -- HH Foot -- Low Dry Tom -- HH Foot -- Hi Dry Tom -- HH Open -- Hi Dry Tom -- Hi Dry Tom -- Cymbal 14"" Crash -- Hi Dry Tom -- Ride Ping -- Ride Bell -- Fat Kick -- Tam Tam -- Cymbal 12""Splash -- Cowbell -- Cymbal 14"" Crash -- Fingersnap -- Cymbal 14"" Crash -- Hit Tom Attack -- Hit Tom Attack -- Hit Tom Attack -- Hit Tom Attack -- Hit Tom Attack -- Hit Tom Attack -- Tambourine -- Snare Nicey -- Snare Gated Rvrb"
"2500","2","kit:D&B Tight","KIT-Drum-Bass 3a","Classical 1","2","631","kit:Acoustic 3&4","Fat Kick -- Side Stick -- Rimshot Snare 2 -- Rimshot Snare 1 -- Rimshot Snare 2 -- Low Dry Tom -- HH Jazz Tight -- Low Dry Tom -- HH Jazz -- Hi Dry Tom -- HH Jazz -- Hi Dry Tom -- Hi Dry Tom -- Cymbal 14"" Crash -- Hi Dry Tom -- Ride Ping -- Ride Bell -- Fat Kick -- Tam Tam -- Cymbal 12""Splash -- Cowbell -- Cymbal 14"" Crash -- Fingersnap -- Cymbal 14"" Crash -- Tambourine -- 909 Trashy -- Snare Gated Rvrb -- Gated K Verb -- Low Dry Tom -- Low Dry Tom -- Hi Dry Tom -- Hi Dry Tom -- Hi Dry Tom -- Hi Dry Tom -- Cymbal 12""Splash -- Dyna Kick -- Side Stick -- Dyna Snare -- Snare Gated Rvrb -- DS4 Snare CS -- Low Dry Tom -- HH Closed -- Low Dry Tom -- HH Foot -- Hi Dry Tom -- HH Open -- Hi Dry Tom -- Hi Dry Tom -- Cymbal 14"" Crash -- Hi Dry Tom -- Ride Ping -- Ride Bell -- Fat Kick -- Cymbal 14"" Crash -- Cymbal 12""Splash -- Cowbell -- Cymbal 14"" Crash -- Woodblock 1 -- Cymbal 12""Splash -- Room Tom -- Tambourine -- Room Tom -- Hat Closed -- Room Tom -- Hat Pedal -- Hat Lite OpenMid -- Room Tom -- Room Tom -- Room Tom -- Room Tom -- Tam Tam"
"2500","2","kit:D&B Tight","KIT-Drum-Bass 3a","Classical 1","3","711","prc:Kick 58","909 Kick 4"
"2500","2","kit:D&B Tight","KIT-Drum-Bass 3a","Classical 1","4","453","hit:Game Hit","Super Game Blip"
"2500","3","str:Golden","STR-TronStrings","Diddy 2","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
"2500","3","str:Golden","STR-TronStrings","Diddy 2","2","215","str:Tron","Tron Strings C3 -- Tron Strings G3 -- Tron Strings C4 -- Tron Strings G4 -- Tron Strings C5"
"2500","4","bas:Sustainer","BAS-Mod da Wheel","Aud Endo","1","134","bas:Finger 1","Finger Bass 1 E0 -- Finger Bass 1 A0 -- Finger Bass 1 D1 -- Finger Bass 1 G1 -- Finger Bass 1 C2 -- Finger Bass 1 G2 -- Finger Bass 1 C3 -- Finger Bass 1 F3 -- Finger Bass 1 F5"
"2500","4","bas:Sustainer","BAS-Mod da Wheel","Aud Endo","2","141","bas:Slap 5","Lewis Slap E0 -- Lewis Slap A0"
